city	state	avg_daylight_hours	apparition_type	event_type	Ozone_ppb_Description	SO2_ppb_Description	CO_ppb_Description
Manitoulin Island	michigan	11.4	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Northville	michigan	11.4	Partial Apparition	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Allentown	pennsylvania	11.45	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Coatsville	pennsylvania	11.45	Mist	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Drexel Hill	pennsylvania	11.45	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Galeton	pennsylvania	11.45	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Greensburg	pennsylvania	11.45	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Lancaster	pennsylvania	11.45	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Latrobe	pennsylvania	11.45	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Good Air Quality
Milford	pennsylvania	11.45	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Millville	pennsylvania	11.45	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Good Air Quality
Pittsburgh	pennsylvania	11.45	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Scranton	pennsylvania	11.45	Mist	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
San Miguel	california	11.53	Mist	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Tullytown	pennsylvania	11.45	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Santa Clara	california	11.53	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Santa Cruz	california	11.53	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
West Chester	pennsylvania	11.45	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Tulare County	california	11.53	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Becket	massachusetts	11.4	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Bridgewater	massachusetts	11.4	Ghost Light	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Chestnut Hill	massachusetts	11.4	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Chestnut Hill	massachusetts	11.4	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Fairhaven	massachusetts	11.4	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Fall River	massachusetts	11.4	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Mansfield	massachusetts	11.4	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
New Bedford	massachusetts	11.4	Shadow Figure	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Newburyport	massachusetts	11.4	Ghost	Natural Disaster	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
North Andover	massachusetts	11.4	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Plymouth	massachusetts	11.4	Mist	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Menlo Park	california	11.53	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Morro Bay	california	11.53	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Oakland	california	11.53	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Weston	massachusetts	11.4	Ghost Light	Natural Disaster	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Orange County	california	11.53	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Pasadena	california	11.53	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
