x-coordinate,y-coordinate,Similarity_score
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/9844b638-03e0-41d1-a222-df9f5673cef7.txt,0.78125
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/a812093c-04f3-4e19-80fe-de6eb98edc19.txt,0.9375
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/b944d652-1bdb-4b5e-b54d-81fcf58cf111.txt,0.78125
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/bde409f7-bd09-4ead-abc9-c4084e36b9da.txt,0.96875
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/f842dbcf-ec97-4fd2-8e12-ab824ba593fe.txt,0.78125
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/4eb7804e-875d-49ce-b160-ce9d5edf3f5c.txt,0.9375
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/b9cdcfc5-c73e-4700-b3dc-c168d1735089.txt,0.90625
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/1fb43ba0-3cd2-44bb-90c5-033f922e65ef.txt,0.8125
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/e168d3c4-7d2e-4bdb-82f9-b83a7fc1fd88.txt,0.78125
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/6f544529-4f30-405e-bea8-deb56746f11c.txt,0.78125
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/b0d28143-7237-4726-9d36-506db0f74a09.txt,0.8125
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/c6955c33-d5ca-4b7f-aca9-2f8e1231b33e.txt,0.90625
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/bf28561f-176b-4858-bed0-f501db09eca5.txt,0.90625
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/f2f4e443-9245-4a7a-8d77-99b84a592870.txt,0.78125
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/d51544cd-2005-4568-9786-6ad928287bac.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/46927ddd-3617-4928-b5af-f2e738a67769.txt,0.90625
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/9844b638-03e0-41d1-a222-df9f5673cef7.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/a812093c-04f3-4e19-80fe-de6eb98edc19.txt,0.90625
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/9844b638-03e0-41d1-a222-df9f5673cef7.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/b944d652-1bdb-4b5e-b54d-81fcf58cf111.txt,0.9375
/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/9844b638-03e0-41d1-a222-df9f5673cef7.txt,/Users/jfulch/git/school/haunted-places-analysis/data/haunted_places/bde409f7-bd09-4ead-abc9-c4084e36b9da.txt,0.90625
